week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,drivers_needed,drivers_needed_pred
1,Thursday,East Harlem North,2.0,3512.42,322,300.35084917262765
1,Thursday,East Harlem South,2.0,3512.42,322,566.6155752913999
1,Thursday,East Village,11.75,20635.4675,1893,1945.4729727544652
1,Thursday,Fort Greene,1.0,1756.21,161,179.14664833080457
1,Thursday,Gramercy,10.5,18440.205,1692,1589.1063411666676
1,Thursday,Hamilton Heights,1.0,1756.21,161,149.33889111158132
1,Thursday,Hudson Yards-Chelsea-Flatiron-Union Square,20.333333333333332,35709.60333333333,3276,3061.430394255205
1,Thursday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,322,364.0695170451109
1,Thursday,Hunts Point,1.0,1756.21,161,170.7352226973292
1,Thursday,Jackson Heights,1.0,1756.21,161,189.86146344187424
1,Thursday,Lenox Hill-Roosevelt Island,13.0,22830.73,2095,2145.281362439468
1,Thursday,Lincoln Square,13.0,22830.73,2095,1971.8155930949704
1,Thursday,Lower East Side,3.0,5268.63,483,426.9881869910724
1,Thursday,Midtown-Midtown South,14.683333333333334,25787.016833333335,2366,3719.836323281901
1,Thursday,Morningside Heights,4.0,7024.84,644,743.266311405017
1,Thursday,Mott Haven-Port Morris,1.0,1756.21,161,205.1768918961712
1,Thursday,Murray Hill-Kips Bay,16.333333333333332,28684.763333333332,2632,2421.3982158719286
1,Thursday,North Side-South Side,1.0,1756.21,161,365.42701879892553
1,Thursday,Park Slope-Gowanus,1.0,1756.21,161,165.08793384117772
1,Thursday,Prospect Heights,1.0,1756.21,161,143.88601684691514
1,Thursday,Rego Park,1.0,1756.21,161,165.2630675085023
1,Thursday,Ridgewood,1.0,1756.21,161,178.1113449897791
1,Thursday,SoHo-TriBeCa-Civic Center-Little Italy,18.666666666666668,32782.58666666667,3008,2432.0870830445374
1,Thursday,Steinway,1.0,1756.21,161,179.23346557038133
1,Thursday,Stuyvesant Town-Cooper Village,2.0,3512.42,322,299.3486398582417
1,Thursday,Turtle Bay-East Midtown,19.5,34246.095,3142,2720.380036589231
1,Thursday,Upper East Side-Carnegie Hill,12.25,21513.572500000002,1974,2621.31821108897
1,Thursday,Upper West Side,13.5,23708.835,2175,2248.5342801225097
1,Thursday,Washington Heights North,1.0,1756.21,161,168.41336930699018
1,Thursday,Washington Heights South,2.0,3512.42,322,186.51151090055777
1,Thursday,West Brighton,1.0,1756.21,161,182.3571256294739
1,Thursday,West Village,18.5,32489.885000000002,2981,2497.3093867426373
1,Thursday,Yorkville,16.0,28099.36,2578,1908.7656845561671
1,Thursday,park-cemetery-etc-Manhattan,7.0,12293.470000000001,1128,1047.7005231809328
1,Tuesday,Airport,19.0,33367.99,3061,2172.197429424433
1,Tuesday,Battery Park City-Lower Manhattan,8.0,14049.68,1289,1494.6509223046637
1,Tuesday,Briarwood-Jamaica Hills,1.0,1756.21,161,190.66482229651905
1,Tuesday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,161,198.4862397367457
1,Tuesday,Central Harlem South,1.0,1756.21,161,303.37612611287256
1,Tuesday,Chinatown,5.0,8781.05,806,961.389833123086
1,Tuesday,Clinton,17.0,29855.57,2739,2239.864642421664
1,Tuesday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0,3512.42,322,244.38744805839067
1,Tuesday,East Harlem North,1.0,1756.21,161,283.56144842778446
1,Tuesday,East Harlem South,4.0,7024.84,644,538.5774264706873
1,Tuesday,East Village,15.0,26343.15,2417,1846.3450991275624
1,Tuesday,East Williamsburg,2.0,3512.42,322,197.5330874304365
1,Tuesday,Fort Greene,1.0,1756.21,161,189.1704256235149
1,Tuesday,Gramercy,6.0,10537.26,967,1503.6963369452724
1,Tuesday,Hudson Yards-Chelsea-Flatiron-Union Square,19.833333333333332,34831.49833333333,3196,2951.294614446823
1,Tuesday,Hunters Point-Sunnyside-West Maspeth,2.0,3512.42,322,372.3332313286062
1,Tuesday,Lenox Hill-Roosevelt Island,12.0,21074.52,1933,2128.005416509001
1,Tuesday,Lincoln Square,7.0,12293.470000000001,1128,1918.2276497869743
1,Tuesday,Lower East Side,4.0,7024.84,644,435.4328206082543
1,Tuesday,Midtown-Midtown South,23.966666666666665,42090.49966666666,3862,3782.0034403931063
1,Tuesday,Morningside Heights,8.0,14049.68,1289,756.692115192242
1,Tuesday,Mott Haven-Port Morris,1.0,1756.21,161,229.7954856583944
1,Tuesday,Murray Hill-Kips Bay,12.0,21074.52,1933,2236.592054065471
1,Tuesday,North Side-South Side,3.0,5268.63,483,332.2327601704784
1,Tuesday,Park Slope-Gowanus,1.0,1756.21,161,172.65139396347044
1,Tuesday,Queensbridge-Ravenswood-Long Island City,2.0,3512.42,322,256.2139504406791
1,Tuesday,SoHo-TriBeCa-Civic Center-Little Italy,14.333333333333334,25172.343333333334,2309,2377.1913589590117
